timestamp,dag_id,runtime_sec,rows_processed,cpu_usage,memory_usage,retries,failed,sla_breach
2026-02-27 10:18:56.323372,sales_etl,238.22,135235,50.53,42.67,0,0,0
2026-02-27 10:23:56.323372,sales_etl,332.36,107592,57.47,59.97,0,0,0
2026-02-27 10:37:56.323372,sales_etl,277.85,115773,46.71,66.49,0,0,0
2026-02-27 10:46:56.323372,sales_etl,302.42,94927,56.93,65.16,0,0,0
2026-02-27 10:53:56.323372,sales_etl,284.81,109042,61.18,63.22,0,0,0
2026-02-27 10:59:56.323372,sales_etl,261.35,92409,36.84,34.08,0,0,0
2026-02-27 11:18:56.323372,sales_etl,215.58,89531,55.82,46.57,0,0,0
2026-02-27 11:37:56.323372,sales_etl,261.35,111162,46.34,59.23,0,0,0
2026-02-27 11:54:56.323372,sales_etl,287.51,127656,50.32,56.35,0,0,0
2026-02-27 12:07:56.323372,sales_etl,339.19,103406,43.76,63.96,0,0,0
2026-02-27 12:22:56.323372,sales_etl,319.03,100952,42.51,56.8,0,0,0
2026-02-27 12:32:56.323372,sales_etl,206.44,131816,64.0,59.57,0,0,0
2026-02-27 12:40:56.323372,sales_etl,274.35,98534,60.07,60.64,0,0,0
2026-02-27 12:57:56.323372,sales_etl,288.7,98383,45.05,66.35,0,0,0
2026-02-27 13:02:56.323372,sales_etl,251.43,93532,45.47,60.86,0,0,0
2026-02-27 13:17:56.323372,sales_etl,284.23,90616,48.15,53.79,0,0,0
2026-02-27 13:46:56.323372,sales_etl,225.62,77389,32.67,50.0,0,0,0
2026-02-27 14:05:56.323372,sales_etl,287.88,147589,36.87,64.13,0,0,0
2026-02-27 14:22:56.323372,sales_etl,331.23,92695,37.14,60.35,0,0,0
2026-02-27 14:46:56.323372,sales_etl,244.25,104827,69.09,50.74,0,0,0
2026-02-27 15:04:56.323372,sales_etl,284.55,96453,48.98,66.0,0,0,0
2026-02-27 15:18:56.323372,sales_etl,249.94,94749,52.51,51.73,0,0,0
2026-02-27 15:30:56.323372,sales_etl,260.96,92360,55.85,57.02,0,0,0
2026-02-27 15:47:56.323372,sales_etl,371.93,124811,60.61,52.65,0,0,0
2026-02-27 15:56:56.323372,sales_etl,303.12,100200,59.39,53.1,0,0,0
2026-02-27 16:10:56.323372,sales_etl,270.53,84208,48.87,68.19,0,0,0
2026-02-27 16:25:56.323372,sales_etl,283.13,94651,45.71,56.91,1,0,0
2026-02-27 16:37:56.323372,sales_etl,288.76,106047,63.13,49.22,0,0,0
2026-02-27 16:50:56.323372,sales_etl,261.86,89320,61.56,54.07,0,0,0
2026-02-27 17:15:56.323372,sales_etl,293.05,98114,46.79,50.05,0,0,0
2026-02-27 17:38:56.323372,sales_etl,270.42,105921,72.55,77.16,1,0,0
2026-02-27 17:46:56.323372,sales_etl,400.24,115838,36.72,53.74,1,0,0
2026-02-27 18:11:56.323372,sales_etl,243.31,103565,51.5,58.81,0,0,0
2026-02-27 18:37:56.323372,sales_etl,317.95,100818,46.88,54.01,0,0,0
2026-02-27 19:02:56.323372,sales_etl,333.56,89503,66.34,55.44,0,0,0
2026-02-27 19:27:56.323372,sales_etl,288.14,103764,39.7,51.29,0,0,0
2026-02-27 19:51:56.323372,sales_etl,248.7,96723,47.09,46.34,0,0,0
2026-02-27 20:06:56.323372,sales_etl,298.76,93527,51.26,62.36,0,0,0
2026-02-27 20:16:56.323372,sales_etl,220.61,101066,39.7,69.37,0,0,0
2026-02-27 20:36:56.323372,sales_etl,260.07,122541,65.34,51.04,0,0,0
2026-02-27 21:01:56.323372,sales_etl,302.87,112641,51.82,49.27,0,0,0
2026-02-27 21:25:56.323372,sales_etl,270.74,114488,52.12,53.27,0,0,0
2026-02-27 21:51:56.323372,sales_etl,277.46,82895,58.88,63.06,0,0,0
2026-02-27 21:59:56.323372,sales_etl,246.47,118555,49.03,43.53,0,0,0
2026-02-27 22:17:56.323372,sales_etl,263.47,104800,59.11,57.59,0,0,0
2026-02-27 22:36:56.323372,sales_etl,289.76,89886,41.63,51.98,0,0,0
2026-02-27 22:48:56.323372,sales_etl,312.45,87338,54.24,58.08,0,0,0
2026-02-27 23:18:56.323372,sales_etl,316.8,103790,45.51,55.23,0,0,0
2026-02-27 23:46:56.323372,sales_etl,356.97,89065,63.32,58.39,2,0,0
2026-02-28 00:04:56.323372,sales_etl,265.05,107209,58.27,63.37,1,0,0
2026-02-28 00:29:56.323372,sales_etl,335.18,109992,53.39,67.43,0,0,0
2026-02-28 00:41:56.323372,sales_etl,292.12,87674,54.46,53.72,0,0,0
2026-02-28 00:48:56.323372,sales_etl,355.14,102782,54.37,61.36,2,0,0
2026-02-28 01:18:56.323372,sales_etl,288.93,101051,66.25,67.3,0,0,0
2026-02-28 01:45:56.323372,sales_etl,300.56,110564,57.39,55.18,0,0,0
2026-02-28 01:58:56.323372,sales_etl,379.41,97989,52.93,57.58,0,0,0
2026-02-28 02:03:56.323372,sales_etl,380.95,108521,57.87,85.03,1,0,0
2026-02-28 02:29:56.323372,sales_etl,427.33,90527,72.48,69.2,2,0,0
2026-02-28 02:37:56.323372,sales_etl,411.75,86486,71.2,67.54,0,0,0
2026-02-28 03:01:56.323372,sales_etl,424.6,80504,79.58,82.34,2,0,0
2026-02-28 03:18:56.323372,sales_etl,408.6,97434,71.36,71.85,3,0,0
2026-02-28 03:37:56.323372,sales_etl,446.36,77064,62.83,72.46,1,0,0
2026-02-28 04:01:56.323372,sales_etl,411.33,88104,66.31,76.51,4,0,0
2026-02-28 04:19:56.323372,sales_etl,329.2,77590,75.88,68.8,1,0,0
2026-02-28 04:43:56.323372,sales_etl,343.43,49949,59.23,79.0,2,0,0
2026-02-28 04:48:56.323372,sales_etl,395.38,70315,60.33,70.88,1,0,0
2026-02-28 04:57:56.323372,sales_etl,393.34,75669,74.37,65.09,0,0,0
2026-02-28 05:08:56.323372,sales_etl,425.12,78199,44.69,86.02,4,0,0
2026-02-28 05:25:56.323372,sales_etl,477.38,95811,78.06,73.33,3,1,1
2026-02-28 05:37:56.323372,sales_etl,396.81,71848,57.74,69.36,0,0,0
2026-02-28 05:50:56.323372,sales_etl,406.32,70870,65.83,77.98,2,0,0
2026-02-28 06:08:56.323372,sales_etl,398.12,106161,63.75,72.38,2,1,0
2026-02-28 06:37:56.323372,sales_etl,366.02,124367,48.29,64.12,1,0,0
2026-02-28 06:44:56.323372,sales_etl,358.44,89688,59.66,59.74,1,0,0
2026-02-28 07:01:56.323372,sales_etl,341.72,90677,61.37,61.28,0,0,0
2026-02-28 07:31:56.323372,sales_etl,293.81,98239,70.64,55.88,0,0,0
2026-02-28 07:38:56.323372,sales_etl,314.89,79233,55.52,61.34,0,0,0
2026-02-28 07:58:56.323372,sales_etl,297.02,79019,75.19,60.21,0,0,0
2026-02-28 08:18:56.323372,sales_etl,338.82,90893,54.95,56.99,0,0,0
2026-02-28 08:30:56.323372,sales_etl,346.96,105067,54.08,63.2,0,0,0
2026-02-28 08:47:56.323372,sales_etl,411.51,91242,49.38,61.95,1,0,0
2026-02-28 09:12:56.323372,sales_etl,336.58,81991,59.67,66.6,1,0,0
2026-02-28 09:32:56.323372,sales_etl,344.86,73528,58.8,65.38,2,0,0
2026-02-28 09:47:56.323372,sales_etl,287.22,78315,55.38,58.5,0,0,0
2026-02-28 10:09:56.323372,sales_etl,294.87,84252,76.68,64.49,0,0,0
2026-02-28 10:31:56.323372,sales_etl,312.43,110541,69.05,61.09,1,0,0
2026-02-28 10:50:56.323372,sales_etl,307.64,59626,45.44,66.26,1,0,0
2026-02-28 11:07:56.323372,sales_etl,373.76,96925,52.24,57.7,2,0,0
2026-02-28 11:12:56.323372,sales_etl,312.07,79492,66.36,71.79,0,0,0
2026-02-28 11:34:56.323372,sales_etl,326.09,87068,57.22,64.4,0,0,0
2026-02-28 11:55:56.323372,sales_etl,308.52,99737,54.32,67.09,3,0,0
2026-02-28 12:23:56.323372,sales_etl,331.25,68554,52.65,52.31,1,0,0
2026-02-28 12:42:56.323372,sales_etl,361.62,83828,70.48,71.94,0,0,0
2026-02-28 12:56:56.323372,sales_etl,307.62,63143,56.39,71.36,2,0,0
2026-02-28 13:07:56.323372,sales_etl,382.59,116301,65.34,67.01,1,0,0
2026-02-28 13:14:56.323372,sales_etl,335.63,68730,47.12,66.82,0,0,0
2026-02-28 13:28:56.323372,sales_etl,310.9,109146,49.2,58.03,0,0,0
2026-02-28 13:56:56.323372,sales_etl,334.46,81621,65.15,65.13,1,0,0
2026-02-28 14:04:56.323372,sales_etl,362.21,68669,55.62,76.48,3,0,0
2026-02-28 14:12:56.323372,sales_etl,358.14,96715,44.13,60.41,0,0,0
2026-02-28 14:39:56.323372,sales_etl,310.61,94765,72.43,86.52,0,0,0
2026-02-28 14:49:56.323372,sales_etl,349.52,77617,72.71,59.25,0,0,0
2026-02-28 15:06:56.323372,sales_etl,410.47,75067,61.8,65.77,0,0,0
2026-02-28 15:29:56.323372,sales_etl,347.89,106428,70.43,63.93,1,0,0
2026-02-28 15:50:56.323372,sales_etl,384.88,68660,55.31,59.88,1,0,0
2026-02-28 16:10:56.323372,sales_etl,355.31,100213,74.69,63.7,0,0,0
2026-02-28 16:23:56.323372,sales_etl,309.19,74730,58.95,65.79,0,0,0
2026-02-28 16:31:56.323372,sales_etl,392.51,72928,67.16,85.06,3,0,0
2026-02-28 16:52:56.323372,sales_etl,416.59,63013,74.72,74.24,1,1,0
2026-02-28 17:16:56.323372,sales_etl,365.24,78676,67.43,56.7,1,0,0
2026-02-28 17:28:56.323372,sales_etl,371.8,76642,54.44,57.54,1,0,0
2026-02-28 17:53:56.323372,sales_etl,358.74,93476,58.77,69.89,0,0,0
2026-02-28 18:02:56.323372,sales_etl,419.99,95478,58.64,63.17,0,0,0
2026-02-28 18:22:56.323372,sales_etl,266.53,105177,55.79,77.83,3,0,0
2026-02-28 18:51:56.323372,sales_etl,333.43,88829,61.68,72.46,0,0,0
2026-02-28 19:10:56.323372,sales_etl,330.33,74829,67.18,77.41,1,0,0
